X,Y
72.77,102.77
65.12,95.12
82.02,112.02
65.16,95.16
78.19,108.19
76.29,106.29
65.86,95.86
75.69,105.69
72.44,102.44
65.14,95.14
80.03,110.03
51.96,81.96
57.74,87.74
52.02,82.02
18.63,48.63
16.71,46.71
45.07,75.07
89.87,119.87
86.91,116.91
41.21,71.21
99.11,129.11
69.25,99.25
91.73,121.73
72.98,102.98
22.08,52.08
95.92,125.92
87,117
18.74,48.74
15.83,45.83
25.46,55.46
7.09,37.09
97.59,127.59
13.02,43.02
13.37,43.37
55.68,85.68
96.94,126.94
34.73,64.73
73.04,103.04
74.72,104.72
51.31,81.31
51.5,81.5
69.87,99.87
71.73,101.73
17.76,47.76
84.18,114.18
11.67,41.67
87.48,117.48
36.26,66.26
30.26,60.26
83.83,113.83
57.07,87.07
64.7,94.7
38.18,68.18
25.2,55.2
12.18,42.18
94.7,124.7
53.1,83.1
80.75,110.75
19.61,49.61
78.03,108.03
27.75,57.75
63.42,93.42
93.14,123.14
19.63,49.63
90.27,120.27
28.29,58.29
95.08,125.08
36.87,66.87
91.29,121.29
43.37,73.37
65.24,95.24
12.16,42.16
39.98,69.98
16.34,46.34
69.46,99.46
95.92,125.92
50.93,80.93
46.12,76.12
70.43,100.43
48.68,78.68
96.18,126.18
80.01,110.01
93.99,123.99
86.73,116.73
24.79,54.79
45.72,75.72
52.34,82.34
46.86,76.86
60.15,90.15
40.8,70.8
66.56,96.56
85.77,115.77
28.93,58.93
63.9,93.9
95.59,125.59
94.73,124.73
70.88,100.88
17.77,47.77
67.2,97.2
34.58,64.58
56.88,86.88
91,121
95.22,125.22
54.68,84.68
68.77,98.77
35.52,65.52
60.71,90.71
99.14,129.14
77.54,107.54
36.67,66.67
69.7,99.7
81.02,111.02
9.38,39.38
28.26,58.26
7.49,37.49
48.94,78.94
94.48,124.48
26.64,56.64
89.24,119.24
83.37,113.37
71,101
36.95,66.95
27.94,57.94
84.6,114.6
99.5,129.5
11.97,41.97
58.02,88.02
25.84,55.84
15.39,45.39
69.74,99.74
98.98,128.98
68.2,98.2
17.5,47.5
39.3,69.3
69.39,99.39
63.86,93.86
70.46,100.46
36.5,66.5
57.23,87.23
8.71,38.71
8.97,38.97
27.47,57.47
78.93,108.93
6.03,36.03
43.61,73.61
27.24,57.24
86.95,116.95
48.47,78.47
95.24,125.24
83.88,113.88
15.65,45.65
14.93,44.93
92.78,122.78
40.34,70.34
89.05,119.05
78.62,108.62
54.65,84.65
60.35,90.35
9.75,39.75
36.13,66.13
35.18,65.18
33.24,63.24
56.99,86.99
76.54,106.54
44.16,74.16
27.41,57.41
2.44,32.44
25.25,55.25
67.46,97.46
97.9,127.9
83.51,113.51
33.03,63.03
76.13,106.13
10.5,40.5
36.33,66.33
44.27,74.27
61.26,91.26
20.36,50.36
49.88,79.88
2.17,32.17
13.59,43.59
32.89,62.89
22.2,52.2
41.84,71.84
23.26,53.26
20.72,50.72
16.72,46.72
70.61,100.61
44.86,74.86
80.83,110.83
64.7,94.7
4.65,34.65
77.96,107.96
54.9,84.9
60.22,90.22
95.13,125.13
22.57,52.57
38.99,68.99
49.95,79.95
81.31,111.31
4.96,34.96
4.73,34.73
2.18,32.18
26.25,56.25
91.63,121.63
74.46,104.46
23.52,53.52
58.17,88.17
16.26,46.26
67.73,97.73
65.71,95.71
76.55,106.55
69.59,99.59
60.06,90.06
51,81
18.86,48.86
59.47,89.47
31.02,61.02
78.42,108.42
67.16,97.16
64.21,94.21
17.65,47.65
45.07,75.07
69.62,99.62
14.43,44.43
34.33,64.33
22.66,52.66
73.59,103.59
40.41,70.41
31.06,61.06
1.26,31.26
46.15,76.15
38.87,68.87
76.87,106.87
52.82,82.82
70.35,100.35
22.94,52.94
81.61,111.61
54.83,84.83
46.73,76.73
80.65,110.65
29.22,59.22
68.57,98.57
92.48,122.48
23.59,53.59
83.88,113.88
69.23,99.23
37.82,67.82
41.81,71.81
34.44,64.44
37.84,67.84
51.34,81.34
34.7,64.7
74.14,104.14
48,78
1.77,31.77
73.91,103.91
73.29,103.29
1.27,31.27
61.05,91.05
17.38,47.38
17.98,47.98
54.3,84.3
70.69,100.69
59.3,89.3
90.88,120.88
15.43,45.43
96.78,126.78
21.3,51.3
79.81,109.81
38.28,68.28
20.73,50.73
13.78,43.78
55.67,85.67
55.06,85.06
14.51,44.51
